id,counterparty_gid,hsbc_intragroup_flag,counterparty_fcy_internal_rating,counterparty_lcy_internal_rating,incorporation_country,lgd_classification,pd_classification,entity_class,sub_class,sector,counterparty_dlgd,govt_guarantee_flag,trade_external_rating,counterparty_external_rating,avc,pra_io_mdb_3_1_flag,exposure_ccy,bond_or_loan_flag,original_maturity,residual_maturity,exposure_amount,expected_yield,counterparty_credit_quality_grade
EXP000001,CP00161,Y,5.2,3.3,IT,LGD_CORP,PD_CORP,CORP,PROJECT_FINANCE,INFRASTRUCTURE,0.4083,Y,,B+,1.0,N,EUR,L,9.58,5.61,39041666.94,0.0427,HIGH_YIELD
EXP000002,CP00255,N,3.2,3.2,US,LGD_CORP,PD_CORP,CORP,SPECIALISED_LENDING,CORPORATES,0.3887,Y,BBB+,BBB+,1.0,N,SEK,B,6.81,6.72,16645738.20,0.0278,INVESTMENT_GRADE
EXP000003,CP00178,N,2.2,2.2,GB,LGD_RETAIL,PD_CORP,RETAIL,RESIDENTIAL_REAL_ESTATE,REAL_ESTATE,0.3774,N,,A,1.0,N,USD,L,9.46,0.99,805162.54,0.0091,INVESTMENT_GRADE
EXP000004,CP00062,N,5.1,3.2,FR,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0770,Y,BB-,BB-,1.0,N,PLN,L,4.11,3.34,206556018.35,0.0579,HIGH_YIELD
EXP000005,CP00035,N,0.1,0.1,PL,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0607,Y,,AAA,1.0,N,PLN,B,2.87,1.81,169200991.87,0.0310,INVESTMENT_GRADE
EXP000006,CP00241,N,3.2,3.2,NL,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4372,N,,BBB+,1.25,N,EUR,L,9.28,8.51,37777630.91,0.0181,INVESTMENT_GRADE
EXP000007,CP00044,N,3.2,0.1,US,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4235,Y,,BBB+,1.25,N,CHF,B,7.02,6.71,85043285.27,0.0386,INVESTMENT_GRADE
EXP000008,CP00020,N,3.3,3.3,PL,LGD_CORP,PD_CORP,CORP,CORPORATE,CORPORATES,0.4164,N,BBB,BBB,1.0,N,PLN,L,4.11,1.90,20156747.06,0.0267,INVESTMENT_GRADE
EXP000009,CP00122,N,3.2,4.2,CH,LGD_CORP,PD_CORP,CORP,PROJECT_FINANCE,INFRASTRUCTURE,0.4208,N,BBB+,BBB+,1.0,N,CHF,L,5.75,2.48,42865702.85,0.0329,INVESTMENT_GRADE
EXP000010,CP00226,N,2.2,5.2,IT,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0322,Y,A,A,1.0,N,USD,B,0.47,0.17,237325111.56,0.0436,INVESTMENT_GRADE
EXP000011,CP00157,N,0.1,0.1,SE,LGD_CORP,PD_CORP,CORP,SPECIALISED_LENDING,CORPORATES,0.4300,N,,AAA,1.0,N,PLN,L,4.16,0.47,37400508.00,0.0325,INVESTMENT_GRADE
