scenario_id,projection_year,entity_class,from_rating,to_rating,migration_probability
BASE,2026,BANK,0.1,0.1,0.930000
BASE,2026,BANK,0.1,1.1,0.060000
BASE,2026,BANK,0.1,1.2,0.010000
BASE,2026,BANK,0.1,2.1,0.000000
BASE,2026,BANK,0.1,2.2,0.000000
BASE,2026,BANK,0.1,3.1,0.000000
BASE,2026,BANK,0.1,3.2,0.000000
BASE,2026,BANK,0.1,3.3,0.000000
BASE,2026,BANK,0.1,4.1,0.000000
BASE,2026,BANK,0.1,4.2,0.000000
BASE,2026,BANK,0.1,4.3,0.000000
BASE,2026,BANK,0.1,5.1,0.000000
BASE,2026,BANK,0.1,5.2,0.000000
BASE,2026,BANK,0.1,5.3,0.000000
BASE,2026,BANK,0.1,6.1,0.000000
BASE,2026,BANK,0.1,6.2,0.000000
BASE,2026,BANK,0.1,7.1,0.000000
BASE,2026,BANK,0.1,7.2,0.000000
BASE,2026,BANK,0.1,8.1,0.000000
BASE,2026,BANK,0.1,8.2,0.000000
BASE,2026,BANK,0.1,8.3,0.000000
BASE,2026,BANK,1.1,0.1,0.050000
BASE,2026,BANK,1.1,1.1,0.880000
BASE,2026,BANK,1.1,1.2,0.060000
BASE,2026,BANK,1.1,2.1,0.010000
BASE,2026,BANK,1.1,2.2,0.000000
BASE,2026,BANK,1.1,3.1,0.000000
BASE,2026,BANK,1.1,3.2,0.000000
BASE,2026,BANK,1.1,3.3,0.000000
BASE,2026,BANK,1.1,4.1,0.000000
BASE,2026,BANK,1.1,4.2,0.000000
BASE,2026,BANK,1.1,4.3,0.000000
BASE,2026,BANK,1.1,5.1,0.000000
BASE,2026,BANK,1.1,5.2,0.000000
BASE,2026,BANK,1.1,5.3,0.000000
BASE,2026,BANK,1.1,6.1,0.000000
BASE,2026,BANK,1.1,6.2,0.000000
BASE,2026,BANK,1.1,7.1,0.000000
BASE,2026,BANK,1.1,7.2,0.000000
BASE,2026,BANK,1.1,8.1,0.000000
BASE,2026,BANK,1.1,8.2,0.000000
BASE,2026,BANK,1.1,8.3,0.000000
BASE,2026,BANK,1.2,0.1,0.000000
