scenario_id,projection_year,entity_class,sub_class,exposure_ccy,growth_rate,amortization_rate,prepayment_rate,renewal_rate,new_origination_rate
BASE,2026,BANK,BANK,CHF,0.0134,0.0304,0.0214,0.9600,0.0080
BASE,2026,BANK,BANK,EUR,0.0134,0.0304,0.0171,0.9600,0.0080
BASE,2026,BANK,BANK,GBP,0.0134,0.0304,0.0050,0.9600,0.0080
BASE,2026,BANK,BANK,PLN,0.0134,0.0304,0.0127,0.9600,0.0080
BASE,2026,BANK,BANK,SEK,0.0134,0.0304,0.0243,0.9600,0.0080
BASE,2026,BANK,BANK,USD,0.0134,0.0304,0.0112,0.9600,0.0080
BASE,2026,CORP,COMMERCIAL_REAL_ESTATE,CHF,0.0202,0.0418,0.0214,0.9200,0.0121
BASE,2026,CORP,COMMERCIAL_REAL_ESTATE,EUR,0.0202,0.0418,0.0171,0.9200,0.0121
BASE,2026,CORP,COMMERCIAL_REAL_ESTATE,GBP,0.0202,0.0418,0.0050,0.9200,0.0121
BASE,2026,CORP,COMMERCIAL_REAL_ESTATE,PLN,0.0202,0.0418,0.0127,0.9200,0.0121
BASE,2026,CORP,COMMERCIAL_REAL_ESTATE,SEK,0.0202,0.0418,0.0243,0.9200,0.0121
BASE,2026,CORP,COMMERCIAL_REAL_ESTATE,USD,0.0202,0.0418,0.0112,0.9200,0.0121
BASE,2026,CORP,COMMODITIES_FINANCE,CHF,0.0391,0.0165,0.0214,0.9200,0.0235
BASE,2026,CORP,COMMODITIES_FINANCE,EUR,0.0391,0.0165,0.0171,0.9200,0.0235
BASE,2026,CORP,COMMODITIES_FINANCE,GBP,0.0391,0.0165,0.0050,0.9200,0.0235
BASE,2026,CORP,COMMODITIES_FINANCE,PLN,0.0391,0.0165,0.0127,0.9200,0.0235
BASE,2026,CORP,COMMODITIES_FINANCE,SEK,0.0391,0.0165,0.0243,0.9200,0.0235
BASE,2026,CORP,COMMODITIES_FINANCE,USD,0.0391,0.0165,0.0112,0.9200,0.0235
BASE,2026,CORP,CORPORATE,CHF,0.0283,0.0265,0.0214,0.9200,0.0170
BASE,2026,CORP,CORPORATE,EUR,0.0283,0.0265,0.0171,0.9200,0.0170
BASE,2026,CORP,CORPORATE,GBP,0.0283,0.0265,0.0050,0.9200,0.0170
BASE,2026,CORP,CORPORATE,PLN,0.0283,0.0265,0.0127,0.9200,0.0170
BASE,2026,CORP,CORPORATE,SEK,0.0283,0.0265,0.0243,0.9200,0.0170
BASE,2026,CORP,CORPORATE,USD,0.0283,0.0265,0.0112,0.9200,0.0170
BASE,2026,CORP,OBJECT_FINANCE,CHF,0.0222,0.0275,0.0214,0.9200,0.0133
BASE,2026,CORP,OBJECT_FINANCE,EUR,0.0222,0.0275,0.0171,0.9200,0.0133
BASE,2026,CORP,OBJECT_FINANCE,GBP,0.0222,0.0275,0.0050,0.9200,0.0133
BASE,2026,CORP,OBJECT_FINANCE,PLN,0.0222,0.0275,0.0127,0.9200,0.0133
BASE,2026,CORP,OBJECT_FINANCE,SEK,0.0222,0.0275,0.0243,0.9200,0.0133
BASE,2026,CORP,OBJECT_FINANCE,USD,0.0222,0.0275,0.0112,0.9200,0.0133
BASE,2026,CORP,PROJECT_FINANCE,CHF,0.0294,0.0328,0.0214,0.9200,0.0176
BASE,2026,CORP,PROJECT_FINANCE,EUR,0.0294,0.0328,0.0171,0.9200,0.0176
BASE,2026,CORP,PROJECT_FINANCE,GBP,0.0294,0.0328,0.0050,0.9200,0.0176
BASE,2026,CORP,PROJECT_FINANCE,PLN,0.0294,0.0328,0.0127,0.9200,0.0176
BASE,2026,CORP,PROJECT_FINANCE,SEK,0.0294,0.0328,0.0243,0.9200,0.0176
BASE,2026,CORP,PROJECT_FINANCE,USD,0.0294,0.0328,0.0112,0.9200,0.0176
BASE,2026,CORP,SPECIALISED_LENDING,CHF,0.0385,0.0169,0.0214,0.9200,0.0231
BASE,2026,CORP,SPECIALISED_LENDING,EUR,0.0385,0.0169,0.0171,0.9200,0.0231
BASE,2026,CORP,SPECIALISED_LENDING,GBP,0.0385,0.0169,0.0050,0.9200,0.0231
BASE,2026,CORP,SPECIALISED_LENDING,PLN,0.0385,0.0169,0.0127,0.9200,0.0231
BASE,2026,CORP,SPECIALISED_LENDING,SEK,0.0385,0.0169,0.0243,0.9200,0.0231
BASE,2026,CORP,SPECIALISED_LENDING,USD,0.0385,0.0169,0.0112,0.9200,0.0231
BASE,2026,FI,FINANCIAL_INSTITUTION,CHF,0.0128,0.0352,0.0214,0.9600,0.0077
BASE,2026,FI,FINANCIAL_INSTITUTION,EUR,0.0128,0.0352,0.0171,0.9600,0.0077
BASE,2026,FI,FINANCIAL_INSTITUTION,GBP,0.0128,0.0352,0.0050,0.9600,0.0077
BASE,2026,FI,FINANCIAL_INSTITUTION,PLN,0.0128,0.0352,0.0127,0.9600,0.0077
BASE,2026,FI,FINANCIAL_INSTITUTION,SEK,0.0128,0.0352,0.0243,0.9600,0.0077
BASE,2026,FI,FINANCIAL_INSTITUTION,USD,0.0128,0.0352,0.0112,0.9600,0.0077
BASE,2026,MDB,GENERAL,CHF,-0.0049,0.0384,0.0214,0.9600,0.0000
BASE,2026,MDB,GENERAL,EUR,-0.0049,0.0384,0.0171,0.9600,0.0000
BASE,2026,MDB,GENERAL,GBP,-0.0049,0.0384,0.0050,0.9600,0.0000
BASE,2026,MDB,GENERAL,PLN,-0.0049,0.0384,0.0127,0.9600,0.0000
BASE,2026,MDB,GENERAL,SEK,-0.0049,0.0384,0.0243,0.9600,0.0000
BASE,2026,MDB,GENERAL,USD,-0.0049,0.0384,0.0112,0.9600,0.0000
BASE,2026,OTHER,OTHER,CHF,0.0094,0.0312,0.0214,0.9600,0.0056
BASE,2026,OTHER,OTHER,EUR,0.0094,0.0312,0.0171,0.9600,0.0056
BASE,2026,OTHER,OTHER,GBP,0.0094,0.0312,0.0050,0.9600,0.0056
BASE,2026,OTHER,OTHER,SEK,0.0094,0.0312,0.0243,0.9600,0.0056
BASE,2026,OTHER,OTHER,USD,0.0094,0.0312,0.0112,0.9600,0.0056
BASE,2026,PSE,GENERAL,CHF,0.0042,0.0384,0.0214,0.9600,0.0025
BASE,2026,PSE,GENERAL,EUR,0.0042,0.0384,0.0171,0.9600,0.0025
BASE,2026,PSE,GENERAL,GBP,0.0042,0.0384,0.0050,0.9600,0.0025
BASE,2026,PSE,GENERAL,PLN,0.0042,0.0384,0.0127,0.9600,0.0025
BASE,2026,PSE,GENERAL,SEK,0.0042,0.0384,0.0243,0.9600,0.0025
BASE,2026,PSE,GENERAL,USD,0.0042,0.0384,0.0112,0.9600,0.0025
BASE,2026,RETAIL,RESIDENTIAL_REAL_ESTATE,CHF,0.0191,0.0420,0.0214,0.9200,0.0115
BASE,2026,RETAIL,RESIDENTIAL_REAL_ESTATE,EUR,0.0191,0.0420,0.0171,0.9200,0.0115
BASE,2026,RETAIL,RESIDENTIAL_REAL_ESTATE,GBP,0.0191,0.0420,0.0050,0.9200,0.0115
BASE,2026,RETAIL,RESIDENTIAL_REAL_ESTATE,PLN,0.0191,0.0420,0.0127,0.9200,0.0115
BASE,2026,RETAIL,RESIDENTIAL_REAL_ESTATE,SEK,0.0191,0.0420,0.0243,0.9200,0.0115
BASE,2026,RETAIL,RESIDENTIAL_REAL_ESTATE,USD,0.0191,0.0420,0.0112,0.9200,0.0115
BASE,2026,RETAIL,RETAIL,CHF,0.0329,0.0202,0.0214,0.9200,0.0197
BASE,2026,RETAIL,RETAIL,EUR,0.0329,0.0202,0.0171,0.9200,0.0197
BASE,2026,RETAIL,RETAIL,GBP,0.0329,0.0202,0.0050,0.9200,0.0197
BASE,2026,RETAIL,RETAIL,PLN,0.0329,0.0202,0.0127,0.9200,0.0197
BASE,2026,RETAIL,RETAIL,SEK,0.0329,0.0202,0.0243,0.9200,0.0197
BASE,2026,RETAIL,RETAIL,USD,0.0329,0.0202,0.0112,0.9200,0.0197
BASE,2026,SOV,SOVEREIGN,CHF,-0.0052,0.0383,0.0214,0.9600,0.0000
BASE,2026,SOV,SOVEREIGN,EUR,-0.0052,0.0383,0.0171,0.9600,0.0000
BASE,2026,SOV,SOVEREIGN,GBP,-0.0052,0.0383,0.0050,0.9600,0.0000
BASE,2026,SOV,SOVEREIGN,PLN,-0.0052,0.0383,0.0127,0.9600,0.0000
BASE,2026,SOV,SOVEREIGN,SEK,-0.0052,0.0383,0.0243,0.9600,0.0000
BASE,2026,SOV,SOVEREIGN,USD,-0.0052,0.0383,0.0112,0.9600,0.0000
BASE,2027,BANK,BANK,CHF,0.0068,0.0238,0.0214,0.9600,0.0041
BASE,2027,BANK,BANK,EUR,0.0068,0.0238,0.0167,0.9600,0.0041
